"Section","Section.name","SIC2dg1","Division.name","Group","Group.name","Class","Class.name","SectionAbb"
"C","Manufacturing",18,"Printing and reproduction of recorded media",181,"Printing and service activities related to printing",1812,"Other printing","Manufacturing"
"C","Manufacturing",18,"Printing and reproduction of recorded media",181,"Printing and service activities related to printing",1813,"Pre-press and pre-media services","Manufacturing"
"C","Manufacturing",18,"Printing and reproduction of recorded media",181,"Printing and service activities related to printing",1814,"Binding and related services","Manufacturing"
"C","Manufacturing",18,"Printing and reproduction of recorded media",182,"Reproduction of recorded media",1820,"Reproduction of recorded media","Manufacturing"
"C","Manufacturing",19,"Manufacture of coke and refined petroleum products",191,"Manufacture of coke oven products",1910,"Manufacture of coke oven products","Manufacturing"
"C","Manufacturing",19,"Manufacture of coke and refined petroleum products",192,"Manufacture of refined petroleum products",1920,"Manufacture of refined petroleum products","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2011,"Manufacture of industrial gases","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2012,"Manufacture of dyes and pigments","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2013,"Manufacture of other inorganic basic chemicals","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2014,"Manufacture of other organic basic chemicals","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2015,"Manufacture of fertilisers and nitrogen compounds","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2016,"Manufacture of plastics in primary forms","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",201,"Manufacture of basic chemicals, fertilisers and nitrogen compounds, plastics and synthetic rubber in primary forms",2017,"Manufacture of synthetic rubber in primary forms","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",202,"Manufacture of pesticides and other agrochemical products",2020,"Manufacture of pesticides and other agrochemical products","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",203,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",2030,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Manufacturing"
"C","Manufacturing",20,"Manufacture of chemicals and chemical products",204,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",2041,"Manufacture of soap and detergents, cleaning and polishing preparations","Manufacturing"
